"측정소명","년/월/일","수위(cm)","최고수위(cm)","최저수위(cm)"
"남양주시(부평교)","2021/04/13","48","",""
"남양주시(부평교)","2021/04/12","30","",""
"남양주시(부평교)","2021/04/11","30.54","",""
"남양주시(부평교)","2021/04/10","31.25","",""
"남양주시(부평교)","2021/04/09","33","",""
"남양주시(부평교)","2021/04/08","33.42","",""
"남양주시(부평교)","2021/04/07","35.13","",""
"남양주시(부평교)","2021/04/06","38.63","",""
"남양주시(부평교)","2021/04/05","48","",""
"남양주시(부평교)","2021/04/04","54.83","",""
"남양주시(부평교)","2021/04/03","44.42","",""
"남양주시(부평교)","2021/04/02","29","",""
"남양주시(부평교)","2021/04/01","30","",""
"남양주시(부평교)","2021/03/31","30","",""
"남양주시(부평교)","2021/03/30","30.5","",""
"남양주시(부평교)","2021/03/29","31.88","",""
"남양주시(부평교)","2021/03/28","35.42","",""
"남양주시(부평교)","2021/03/27","27.58","",""
"남양주시(부평교)","2021/03/26","26","",""
"남양주시(부평교)","2021/03/25","26","",""
"남양주시(부평교)","2021/03/22","26","",""
"남양주시(부평교)","2021/03/21","26.58","",""
"남양주시(부평교)","2021/03/20","27","",""
"남양주시(부평교)","2021/03/19","27","",""
"남양주시(부평교)","2021/03/18","27","",""
"남양주시(부평교)","2021/03/17","27","",""
"남양주시(부평교)","2021/03/16","27","",""
"남양주시(부평교)","2021/03/15","27.71","",""
"남양주시(부평교)","2021/03/10","28","",""
"남양주시(부평교)","2021/03/09","28.58","",""
"남양주시(부평교)","2021/03/08","29","",""
"남양주시(부평교)","2021/03/06","30","",""
"남양주시(부평교)","2021/03/05","30","",""
"남양주시(부평교)","2021/03/04","30.58","",""
"남양주시(부평교)","2021/03/03","31.63","",""
"남양주시(부평교)","2021/03/02","36.96","",""
"남양주시(부평교)","2021/03/01","43","",""
"남양주시(부평교)","2021/02/28","25","",""
"남양주시(부평교)","2021/02/27","25","",""
"남양주시(부평교)","2021/02/26","25","",""
"남양주시(부평교)","2021/02/25","25","",""
"남양주시(부평교)","2021/02/24","25","",""
"남양주시(부평교)","2021/02/23","25","",""
"남양주시(부평교)","2021/02/22","25","",""
"남양주시(부평교)","2021/02/21","25","",""
"남양주시(부평교)","2021/02/20","25","",""
"남양주시(부평교)","2021/02/19","25","",""
"남양주시(부평교)","2021/02/18","25","",""
"남양주시(부평교)","2021/02/17","25","",""
"남양주시(부평교)","2021/02/16","25","",""
"남양주시(부평교)","2021/02/15","25","",""
"남양주시(부평교)","2021/02/14","25","",""
"남양주시(부평교)","2021/02/13","25","",""
"남양주시(부평교)","2021/02/12","25","",""
"남양주시(부평교)","2021/02/11","25","",""
"남양주시(부평교)","2021/02/10","25","",""
"남양주시(부평교)","2021/02/09","25","",""
"남양주시(부평교)","2021/02/08","25","",""
"남양주시(부평교)","2021/02/07","25.5","",""
"남양주시(부평교)","2021/02/06","25","",""
"남양주시(부평교)","2021/02/05","25","",""
"남양주시(부평교)","2021/02/04","25","",""
"남양주시(부평교)","2021/02/03","25","",""
"남양주시(부평교)","2021/02/02","25","",""
"남양주시(부평교)","2021/02/01","25","",""
"남양주시(부평교)","2021/01/31","25","",""
"남양주시(부평교)","2021/01/30","25","",""
"남양주시(부평교)","2021/01/29","25","",""
"남양주시(부평교)","2021/01/28","25","",""
"남양주시(부평교)","2021/01/27","25","",""
"남양주시(부평교)","2021/01/26","25","",""
"남양주시(부평교)","2021/01/25","25","",""
"남양주시(부평교)","2021/01/24","25","",""
"남양주시(부평교)","2021/01/23","25","",""
"남양주시(부평교)","2021/01/22","24.71","",""
