*미급수지역 위치 (주소),*미급수인구,미급수세대,상수원,,
강원도 평창군 대관령면 수하리 142-37 버치힐테라스레지던스,9,5,지하수,,
,"1,831",861,,,
강원도 철원군 근남면 ,7,4,지하수,,
강원도 철원군 철원읍 중리,9,4,"지하수,계곡수",,
강원도 철원군 철원읍 ,6,3,"지하수,계곡수",,
강원도 철원군 갈말읍 신철원리,164,106,"지하수,계곡수",,
강원도 철원군 갈말읍 문혜리,232,127,"지하수,계곡수",,
강원도 철원군 갈말읍 문혜리,240,60,"지하수,계곡수",,
강원도 철원군 갈말읍 문혜리,71,23,지하수,,
강원도 철원군 갈말읍 동막리,28,9,"지하수,계곡수",,
강원도 철원군 동송읍 오지리,82,43,"지하수,계곡수",,
강원도 철원군 동송읍 오지리,37,10,"지하수,계곡수",,
강원도 철원군 동송읍 오지리,43,22,"지하수,계곡수",,
강원도 철원군 동송읍 오지리,99,42,"지하수,계곡수",,
강원도 철원군 동송읍 관우리,13,10,지하수,,
강원도 철원군 서면 자등리,86,52,지하수,,
강원도 철원군 서면 자등리,93,50,지하수,,
강원도 철원군 서면 자등리,383,177,지하수,,
강원도 철원군 서면 자등리,10,4,지하수,,
강원도 철원군 근남면 육단리,37,19,지하수,,
강원도 철원군 근남면 육단리,31,15,지하수,,
강원도 철원군 근남면 잠곡리,35,11,지하수,,
강원도 철원군 갈말읍 문혜리,38,13,"지하수,계곡수",,
강원도 철원군 근남면 육단리,13,6,지하수,,
강원도 철원군 근남면 사곡리,5,2,지하수,,
강원도 철원군 근남면 사곡리,22,10,지하수,,
강원도 철원군 철원읍 율이리,41,33,지하수,,
강원도 철원군 근남면 잠곡리,6,6,지하수,,
,"1,946",973,,,
강원도 화천군 화천읍 ,686,337,우물 및 지하수,,
강원도 화천군 간동면 ,271,120,지하수 및 우물,,
강원도 화천군 상서면 ,266,191,지하수 및 우물,,
강원도 화천군 하남면 ,187,74,지하수 및 우물,,
강원도 화천군 사내면 ,536,251,지하수 및 우물,,
,961,453,,,
강원도 양구군 남면 구암리,22,10,지하수,,
강원도 양구군 남면 죽리,20,9,계곡수,,
강원도 양구군 동면 팔랑리,154,73,계곡수,,
강원도 양구군 방산면 금악리,30,14,지하수,,
강원도 양구군 방산면 오미리,76,36,지하수,,
강원도 양구군 양구읍 상무룡리,45,21,계곡수,,
강원도 양구군 양구읍 석현리,87,41,지하수,,
강원도 양구군 양구읍 웅진리,140,66,계곡수,,
강원도 양구군 해안면 ,256,121,계곡수,,
강원도 양구군 남면 두무리,131,62,지하수및 계곡수,,
,"1,619",787,,,
강원도 인제군 남면 신월리,30,14,계곡수,,
강원도 인제군 남면 상수내리,20,10,계곡수,,
강원도 인제군 남면 남전리,45,22,계곡수,,
강원도 인제군 남면 관대리,28,13,계곡수,,
강원도 인제군 남면 신남리,31,16,지하수,,
강원도 인제군 기린면 방동리,215,105,지하수,,
강원도 인제군 기린면 서리,198,95,계곡수,,
강원도 인제군 기린면 진동리,190,94,계곡수,,
강원도 인제군 기린면 현리,154,84,계곡수,,
강원도 인제군 북면 용대리,22,10,계곡수,,
강원도 인제군 북면 월학리,331,162,계곡수,,
강원도 인제군 북면 한계리,21,10,계곡수,,
강원도 인제군 상남면 미산리,31,13,계곡수,,
강원도 인제군 상남면 상남리,29,15,계곡수,,
강원도 인제군 상남면 하남리,105,46,계곡수,,
강원도 인제군 서화면 서화리,37,16,계곡수,,
강원도 인제군 서화면 서흥리,52,25,계곡수+지하수,,
강원도 인제군 서화면 천도리,40,17,계곡수,,
강원도 인제군 인제읍 귀둔리,40,20,계곡수,,
,186,142,,,
강원도 고성군 간성읍 탑동리,77,60,지하수,,
강원도 고성군 간성읍 흘리,48,21,지하수,,
강원도 고성군 거진읍 냉천리,61,61,지하수,,
,162,109,,,
강원도 양양군 현북면 법수치리,90,63,지하수,,
강원도 양양군 현북면 ,72,46,지하수,,
,"19,444","7,185",,,
,"4,737","2,295",,,
,"14,707","4,890",,,
,"3,916","1,905",,,
충청북도 충주시 주덕읍 ,"1,102",551,지하수 등,,
충청북도 충주시 살미면 ,20,10,지하수 등,,
충청북도 충주시 수안보면 ,145,73,지하수 등,,
충청북도 충주시 소태면 ,162,81,지하수 등,,
충청북도 충주시 신니면 ,143,72,지하수 등,,
충청북도 충주시 노은면 ,796,398,지하수 등,,
충청북도 충주시 중앙탑면 ,90,36,지하수 등,,
충청북도 충주시 금가면 ,70,35,지하수 등,,
충청북도 충주시 동량면 ,310,110,지하수 등,,
충청북도 충주시 앙성면 ,374,187,지하수 등,,
충청북도 충주시 산척면 ,430,215,지하수 등,,
충청북도 충주시 소태면 ,100,50,지하수 등,,
충청북도 충주시 엄정면 ,144,72,지하수 등,,
충청북도 충주시 교현동 ,4,2,지하수 등,,
충청북도 충주시 호암동 ,26,13,지하수 등,,
,821,390,,,
충청북도 제천시 봉양읍 장평리,90,23,지하수,,
충청북도 제천시 청풍면 진목리,121,29,지하수,,
충청북도 제천시 수산면 상천리,70,35,지하수,,
충청북도 제천시 덕산면 도기리,16,8,지하수,,
충청북도 제천시 한수면 송계리,10,4,지하수,,
충청북도 제천시 백운면 원월리,13,6,지하수,,
충청북도 제천시 송학면 장곡리,11,5,지하수,,
충청북도 제천시 모산동 ,490,280,지하수,,
,786,396,,,
충청북도 보은군 보은읍 ,21,11,자가수도,,
충청북도 보은군 수한면 ,338,169,자가수도,,
충청북도 보은군 산외면 ,109,55,자가수도,,
충청북도 보은군 속리산면 ,11,6,자가수도,,
충청북도 보은군 장안면 ,170,85,자가수도,,
충청북도 보은군 삼승면 ,76,38,자가수도,,
충청북도 보은군 마로면 ,25,13,자가수도,,
충청북도 보은군 탄부면 ,3,2,자가수도,,
충청북도 보은군 회남면 ,9,5,자가수도,,
충청북도 보은군 회인면 ,24,12,자가수도,,
,58,44,,,
충청북도 증평군 도안면 연촌리,13,7,우물,,
충청북도 증평군 증평읍 율리,45,37,우물,,
,"3,803","1,507",,,
충청북도 진천군 이월면 신계리 산77,99,45,전용상수도,,
충청북도 진천군 광혜원면 광혜원리 414,324,135,전용상수도,,
충청북도 진천군 광혜원면 광혜원리 418-2,573,197,전용상수도,,
충청북도 진천군 진천읍 가산리 148-2,223,142,지하수,,
충청북도 진천군 진천읍 연곡리 358-7,266,108,지하수,,
충청북도 진천군 덕산면 석장리 161-4,108,47,지하수,,
충청북도 진천군 백곡면 용덕리 418-2,250,96,지하수,,
충청북도 진천군 초평면 용기리 762-2,194,91,지하수,,
충청북도 진천군 백곡면 성대리 718-4,297,169,지하수,,
충청북도 진천군 이월면 신계리 483-1,201,89,지하수,,
충청북도 진천군 문백면 문덕리 162,318,150,지하수,,
충청북도 진천군 덕산면 석장리 427-11,212,53,지하수,,
충청북도 진천군 덕산면 용몽리 580-14,80,20,지하수,,
충청북도 진천군 이월면 노원리 72-97,19,5,지하수,,
충청북도 진천군 이월면 노원리 613-5,196,49,지하수,,
충청북도 진천군 초평면 용기리 산28-4,136,34,지하수,,
충청북도 진천군 초평면 용기리 865-1,120,30,지하수,,
충청북도 진천군 초평면 용산리 372,79,20,지하수,,
충청북도 진천군 초평면 용산리 360,87,22,지하수,,
충청북도 진천군 초평면 용기리 652-1,21,5,지하수,,
,"2,569","1,026",,,
충청북도 괴산군 괴산읍 이탄리외 18개리,601,240,지하수,,
충청북도 괴산군 감물면 신대리외 20개리,492,197,지하수,,
충청북도 괴산군 장연면 거문리외 24개리 ,503,201,지하수,,
충청북도 괴산군 연풍면 내웅리외 21개리,25,10,지하수,,
충청북도 괴산군 불정면 풍림리외 30개리,3,1,지하수,,
충청북도 괴산군 문광면 양곡1리외 22개리,353,141,지하수,,
충청북도 괴산군 칠성면 고읍리외 25개리,13,5,지하수,,
충청북도 괴산군 청천면 상신리외 45개리,42,17,지하수,,
충청북도 괴산군 청안면 문방2리외 17개리,153,61,지하수,,
충청북도 괴산군 사리면 월현리외 28개리,13,5,지하수,,
충청북도 괴산군 소수면,371,148,지하수,,
,"7,350","1,847",,,
충청북도 음성군 음성읍 평곡리,36,17,지하수,,
충청북도 음성군 음성읍 석인리,9,5,지하수,,
충청북도 음성군 음성읍 한벌리,13,8,지하수,,
충청북도 음성군 음성읍 사정리,55,32,지하수,,
충청북도 음성군 음성읍 소여리,20,9,지하수,,
충청북도 음성군 음성읍 신천리,11,4,지하수,,
충청북도 음성군 음성읍 초천리,20,6,지하수,,
충청북도 음성군 음성읍 동음리,545,16,지하수,,
충청북도 음성군 금왕읍 육령리,38,20,지하수,,
충청북도 음성군 금왕읍 백야리,8,3,지하수,,
충청북도 음성군 금왕읍 유포리,4,2,지하수,,
충청북도 음성군 금왕읍 도청리,9,5,지하수,,
충청북도 음성군 금왕읍 내송리,700,232,지하수,,
충청북도 음성군 금왕읍 쌍봉리,95,40,지하수,,
충청북도 음성군 금왕읍 사창리,5,3,지하수,,
충청북도 음성군 금왕읍 오선리,270,150,지하수,,
충청북도 음성군 금왕읍 구계리,695,295,지하수,,
충청북도 음성군 소이면 대장리,36,16,지하수,,
충청북도 음성군 소이면 중동리,2,1,지하수,,
충청북도 음성군 소이면 문등리,6,3,지하수,,
충청북도 음성군 소이면 금고리,4,2,지하수,,
충청북도 음성군 소이면 충도리,15,6,지하수,,
충청북도 음성군 소이면 비산리,12,6,지하수,,
충청북도 음성군 원남면 보천리,99,45,지하수,,
충청북도 음성군 원남면 문암리,280,144,지하수,,
충청북도 음성군 원남면 구안리,79,35,지하수,,
충청북도 음성군 맹동면 쌍정리,8,4,지하수,,
충청북도 음성군 맹동면 인곡리,12,5,지하수,,
충청북도 음성군 맹동면 마산리,7,3,지하수,,
충청북도 음성군 맹동면 봉현리,9,5,지하수,,
충청북도 음성군 맹동면 용촌리,16,10,지하수,,
충청북도 음성군 맹동면 신돈리,4,2,지하수,,
충청북도 음성군 맹동면 두성리,6,3,지하수,,
충청북도 음성군 맹동면 군자리,11,6,지하수,,
충청북도 음성군 맹동면 통동리,2,1,지하수,,
충청북도 음성군 대소면 태생리,"1,525",1,지하수,,
충청북도 음성군 대소면 소석리,139,61,지하수,,
충청북도 음성군 대소면 성본리,18,11,지하수,,
충청북도 음성군 대소면 부윤리,995,13,지하수,,
충청북도 음성군 대소면 수태리,69,37,지하수,,
충청북도 음성군 대소면 삼정리,55,32,지하수,,
충청북도 음성군 대소면 미곡리,10,7,지하수,,
충청북도 음성군 대소면 삼호리,14,9,지하수,,
충청북도 음성군 대소면 내산리,3,2,지하수,,
충청북도 음성군 대소면 오류리,3,1,지하수,,
충청북도 음성군 대소면 대풍리,69,40,지하수,,
충청북도 음성군 삼성면 양덕리,357,89,지하수,,
충청북도 음성군 삼성면 상곡리,25,10,지하수,,
충청북도 음성군 삼성면 대사리,50,25,지하수,,
충청북도 음성군 삼성면 용대리,250,1,지하수,,
충청북도 음성군 생극면 병암리,14,10,지하수,,
충청북도 음성군 생극면 관성리,75,42,지하수,,
충청북도 음성군 생극면 팔성리,18,11,지하수,,
충청북도 음성군 생극면 송곡리,4,3,지하수,,
충청북도 음성군 생극면 방축리,10,7,지하수,,
충청북도 음성군 생극면 차평리,10,6,지하수,,
충청북도 음성군 생극면 차곡리,22,15,지하수,,
충청북도 음성군 생극면 생리,7,3,지하수,,
충청북도 음성군 감곡면 오향리,12,6,지하수,,
충청북도 음성군 감곡면 주천리,24,10,지하수,,
충청북도 음성군 감곡면 원당리,5,4,지하수,,
충청북도 음성군 감곡면 상평리,62,40,지하수,,
충청북도 음성군 감곡면 월정리,40,24,지하수,,
충청북도 음성군 감곡면 영산리,70,38,지하수,,
충청북도 음성군 감곡면 사곡리,53,30,지하수,,
충청북도 음성군 감곡면 문촌리,57,39,지하수,,
충청북도 음성군 감곡면 상우리,121,64,지하수,,
충청북도 음성군 감곡면 단평리,23,12,지하수,,
,141,70,,,
충청북도 단양군 단양읍 천동리,24,8,지하수,,
충청북도 단양군 매포읍 삼곡리,4,2,지하수,,
충청북도 단양군 단양읍 수촌리,9,5,계곡수,,
충청북도 단양군 대강면 직티리,4,2,지하수,,
충청북도 단양군 가곡면 보발리,15,10,계곡수,,
충청북도 단양군 영춘면 별방리,14,7,계곡수,,
충청북도 단양군 영춘면 남천리,16,7,지하수,,
충청북도 단양군 적성면 하리,11,3,계곡수,,
충청북도 단양군 적성면 상리,13,9,지하수,,
충청북도 단양군 적성면 소야리,17,9,지하수,,
충청북도 단양군 대강면 당동리,6,3,계곡수,,
충청북도 단양군 단성면 대잠리,8,5,계곡수,,
,"84,815","39,591",,,
,"45,356","21,095",,,
,"39,459","18,496",,,
,"6,500","3,316",,,
충청남도 천안시동남구 목천읍 ,379,229,지하수 등,,
충청남도 천안시동남구 풍세면 ,402,195,지하수 등,,
충청남도 천안시동남구 광덕면 ,"3,038","1,511",지하수 등,,
충청남도 천안시동남구 북면 ,"1,243",643,지하수 등,,
충청남도 천안시동남구 성남면 ,526,252,지하수 등,,
충청남도 천안시동남구 수신면 ,397,202,지하수 등,,
충청남도 천안시동남구 동면 ,515,284,지하수 등,,
,"4,853","2,559",,,
충청남도 공주시 유구읍 ,"2,302","1,201","지하수, 계곡수 등",,
충청남도 공주시 이인면 ,61,30,"지하수, 계곡수 등",,
충청남도 공주시 계룡면 ,103,62,"지하수, 계곡수 등",,
충청남도 공주시 탄천면 ,160,95,"지하수, 계곡수 등",,
충청남도 공주시 정안면 ,"1,056",568,"지하수, 계곡수 등",,
충청남도 공주시 우성면 ,100,57,"지하수, 계곡수 등",,
충청남도 공주시 사곡면 ,242,116,"지하수, 계곡수 등",,
충청남도 공주시 신풍면 ,328,174,"지하수, 계곡수 등",,
충청남도 공주시 의당면 ,24,15,"지하수, 계곡수 등",,
충청남도 공주시 반포면 ,169,89,"지하수, 계곡수 등",,
충청남도 공주시 금학동 ,76,36,"지하수, 계곡수 등",,
충청남도 공주시 월송동 ,232,116,"지하수, 계곡수 등",,
,"1,707",599,,,
충청남도 보령시 대천동,571,199,지하수,,
"충청남도 보령시 남포면 봉덕리,옥서2리",104,36,지하수,,
"충청남도 보령시 남포면 봉덕리, 옥서2리 외 11개리",103,36,지하수,,
"충청남도 보령시 청라면 장산리,옥계리,황룡리,장현리,신산리,음현리",152,53,지하수,,
"충청남도 보령시 성주면 성주3리,성주8리,개화1,2,3리",166,58,지하수,,
"충청남도 보령시 웅천읍 두룡리,독산리,소황리,황교리,죽청리",175,65,지하수,,
"충청남도 보령시 주산면 야룡리,신구리,증산리,창암2,3리,화평리,동오리,삼곡1리,황율리",235,82,지하수,,
"충청남도 보령시 오천면 교성1리,갈현리,효자리,원산리,삽시리,녹도리,외연도리",201,70,지하수,,
,"1,062",469,,,
충청남도 아산시 송악면 강당리,316,133,"우물, 샘물",,
충청남도 아산시 송악면 궁평리,13,3,"우물, 샘물",,
충청남도 아산시 송악면 거산리,13,6,"우물, 샘물",,
충청남도 아산시 송악면 강장리,151,53,"우물, 샘물",,
충청남도 아산시 송악면 마곡리,43,23,우물,,
충청남도 아산시 영인면 신봉리,34,33,"우물, 샘물",,
충청남도 아산시 도고면 도산리,16,11,우물,,
충청남도 아산시 도고면 신통리,104,41,우물,,
충청남도 아산시 도고면 와산리,9,5,우물,,
충청남도 아산시 송악면 수곡리,8,3,우물,,
충청남도 아산시 도고면 금산리 (화합의마을),304,107,전용상수도,,
충청남도 아산시 음봉면 산동리 (스테코기숙사),51,51,전용상수도 ,,
,"6,360","2,910",,,
충청남도 서산시 죽성동 ,141,64,지하수,,
충청남도 서산시 예천동 ,55,21,지하수,,
충청남도 서산시 부석면 칠전리,172,89,지하수,,
충청남도 서산시 성연면 일람리,117,47,지하수,,
충청남도 서산시 성연면 일람리,91,46,지하수,,
충청남도 서산시 음암면 부장리,46,21,지하수,,
충청남도 서산시 음암면 유계리,98,49,지하수,,
충청남도 서산시 음암면 도당리,114,62,지하수,,
충청남도 서산시 운산면 갈산리,116,52,지하수,,
충청남도 서산시 해미면 대곡리,448,297,지하수,,
충청남도 서산시 해미면 황락리,212,111,지하수,,
충청남도 서산시 고북면 신정리,130,57,지하수,,
충청남도 서산시 고북면 신정리,326,161,지하수,,
충청남도 서산시 부석면 지산리,102,48,지하수,,
충청남도 서산시 대산읍 기은리,"2,041",795,지하수,,
충청남도 서산시 대산읍 대산리,"1,335",600,지하수,,
충청남도 서산시 대산읍 영탑리,220,113,지하수,,
충청남도 서산시 대산읍 운산리,99,45,지하수,,
충청남도 서산시 대산읍 대죽리,198,86,지하수,,
충청남도 서산시 음암면 성암리,148,70,지하수,,
충청남도 서산시 음암면 유계리,151,76,지하수,,
,"11,674","5,327",,,
충청남도 논산시 연무읍 ,60,48,지하수 ,,
충청남도 논산시 성동면 등,"11,614","5,279",지하수,,
,252,148,,,
충청남도 계룡시 두마면 입암리,70,38,기타 (지하수),,
충청남도 계룡시 두마면 농소리,182,110,기타 (지하수),,
,"12,948","5,767",,,
충청남도 당진시 합덕읍 ,920,410,"지하수, 우물, 샘 등",,
충청남도 당진시 송악읍 ,"3,144","1,403","지하수, 전용상수도 등",,
충청남도 당진시 고대면 ,"1,940",866,"지하수, 전용상수도 등",,
충청남도 당진시 대호지면 ,266,118,"지하수, 우물, 샘 등",,
충청남도 당진시 정미면 ,605,270,"지하수, 우물, 샘 등",,
충청남도 당진시 면천면 ,813,362,"지하수, 우물, 샘 등",,
충청남도 당진시 순성면 ,"1,109",495,"지하수, 전용상수도 등",,
충청남도 당진시 우강면 ,757,337,"지하수, 전용상수도 등",,
충청남도 당진시 신평면 ,"1,845",823,"지하수, 우물, 샘 등",,
충청남도 당진시 송산면 ,"1,384",617,"지하수, 전용상수도 등",,
충청남도 당진시 읍내동 ,165,66,"지하수, 전용상수도 등",,
,"4,788","2,176",,,
충청남도 금산군 금산읍 ,132,39,지하수,,
충청남도 금산군 금성면 ,383,162,지하수,,
충청남도 금산군 제원면 ,361,185,지하수,,
충청남도 금산군 부리면 ,825,412,지하수,,
충청남도 금산군 군북면 ,576,268,지하수,,
충청남도 금산군 남일면 ,675,318,지하수,,
충청남도 금산군 남이면 ,916,428,"지하수, 계곡수, 용천수",,
충청남도 금산군 진산면 ,481,204,"지하수, 계곡수",,
충청남도 금산군 복수면 ,84,32,지하수,,
충청남도 금산군 추부면 ,355,128,지하수,,
,"9,547","4,950",,,
충청남도 부여군 부여읍 상금리,170,83,지하수,,
충청남도 부여군 부여읍 가증리,196,139,지하수,,
충청남도 부여군 부여읍 송곡리,189,96,지하수,,
충청남도 부여군 부여읍 저석리,363,175,지하수,,
충청남도 부여군 부여읍 신정리,187,109,지하수,,
충청남도 부여군 부여읍 능산리,160,79,지하수,,
충청남도 부여군 부여읍 자왕리,189,90,지하수,,
충청남도 부여군 부여읍 송간리,170,77,지하수,,
충청남도 부여군 규암면 모리,116,50,지하수,,
충청남도 부여군 규암면 함양리,141,73,지하수,,
충청남도 부여군 내산면 천보리,122,65,지하수,,
충청남도 부여군 양화면 송정리,102,57,지하수,,
충청남도 부여군 구룡면 현암리,209,111,지하수,,
충청남도 부여군 은산면 내지리,266,123,계곡수 및 지하수,,
충청남도 부여군 은산면 회곡리,151,69,계곡수 및 지하수,,
충청남도 부여군 은산면 오번리,198,97,계곡수 및 지하수,,
충청남도 부여군 은산면 금공리,174,83,계곡수 및 지하수,,
충청남도 부여군 남면 송학리,210,98,지하수,,
충청남도 부여군 남면 송암리,280,121,지하수,,
충청남도 부여군 충화면 지석리,157,90,지하수,,
충청남도 부여군 충화면 복금리,148,78,지하수,,
충청남도 부여군 충화면 청남리,77,44,지하수,,
충청남도 부여군 충화면 팔충리,101,53,지하수,,
충청남도 부여군 석성면 정각리,163,92,지하수,,
충청남도 부여군 옥산면 상기리,129,71,지하수,,
충청남도 부여군 옥산면 중양리,74,46,지하수,,
충청남도 부여군 옥산면 학산리,94,42,지하수,,
충청남도 부여군 옥산면 홍연리,175,92,지하수,,
충청남도 부여군 외산면 문신리,164,77,계곡수 및 지하수,,
충청남도 부여군 외산면 지선리,115,60,계곡수 및 지하수,,
충청남도 부여군 은산면 나령리,222,126,계곡수 및 지하수,,
충청남도 부여군 은산면 장벌리,190,92,계곡수 및 지하수,,
충청남도 부여군 은산면 홍산리,282,119,계곡수 및 지하수,,
충청남도 부여군 초촌면 산직리,204,98,지하수,,
충청남도 부여군 초촌면 진호리,249,122,지하수,,
충청남도 부여군 초촌면 초평리,199,115,지하수,,
충청남도 부여군 충화면 가화리,85,53,지하수,,
충청남도 부여군 충화면 만지리,213,116,지하수,,
충청남도 부여군 충화면 현미리,11,5,지하수,,
충청남도 부여군 충화면 천당리,205,113,지하수,,
충청남도 부여군 홍산면 무정리,106,55,지하수,,
충청남도 부여군 홍산면 상천리,133,79,지하수,,
충청남도 부여군 홍산면 홍양리,272,134,지하수,,
충청남도 부여군 은산면 합수리,131,59,계곡수 및 지하수,,
충청남도 부여군 은산면 각대리,72,40,계곡수 및 지하수,,
충청남도 부여군 홍산면 정동리,71,39,지하수,,
충청남도 부여군 옥산면 신안리,129,72,지하수,,
충청남도 부여군 충화면 오덕리,135,71,지하수,,
충청남도 부여군 양화면 초왕리,51,29,지하수,,
충청남도 부여군 양화면 상촌리,55,30,지하수,,
충청남도 부여군 임천면 옥곡리,88,48,지하수,,
충청남도 부여군 임천면 점리,273,147,지하수,,
충청남도 부여군 초촌면 송국리,164,85,지하수,,
충청남도 부여군 양화면 송정리,151,74,지하수,,
충청남도 부여군 초촌면 소사리,228,137,지하수,,
충청남도 부여군 외산면 반교리,162,84,계곡수 및 지하수,,
충청남도 부여군 외산면 가덕리,79,44,계곡수 및 지하수,,
충청남도 부여군 외산면 갈산리,39,14,계곡수 및 지하수,,
충청남도 부여군 옥산면 봉산리,117,67,지하수,,
충청남도 부여군 옥산면 대덕리,90,56,지하수,,
충청남도 부여군 양화면 벽용리,108,60,지하수,,
충청남도 부여군 세도면 장산리,43,27,지하수,,
,"2,514","1,345",,,
충청남도 서천군 서천읍 태월리,34,18, (지하수),,
충청남도 서천군 화양면 활동리,53,31, (지하수),,
충청남도 서천군 화양면 ,73,35, (지하수) 추남리,,
충청남도 서천군 화양면 ,29,14, (지하수) 진목리,,
충청남도 서천군 한산면 송곡리,51,28, (지하수),,
충청남도 서천군 한산면 동지리,90,51," (지하수) 동지1,2리",,
충청남도 서천군 서천읍 화성리,37,19," (지하수) 화성1,2리",,
충청남도 서천군 화양면 옥포리,47,25, (지하수) 옥포3,,
충청남도 서천군 화양면 보현리,26,18, (지하수) 안보,,
충청남도 서천군 화양면 ,35,23, (지하수) 추북리,,
충청남도 서천군 한산면 동지리,31,16, (지하수) 토산,,
충청남도 서천군 마산면 안당리,57,29, (지하수) 안민,,
충청남도 서천군 마산면 소야리,29,16, (지하수),,
충청남도 서천군 마산면 신봉리,29,14, (지하수) 서봉,,
충청남도 서천군 마산면 시선리,42,21, (지하수) 탑시,,
충청남도 서천군 마산면 시선리,39,21, (지하수) 선동,,
충청남도 서천군 마산면 지산리,49,26, (지하수) 가물,,
충청남도 서천군 마산면 ,39,17, (지하수) 은전,,
충청남도 서천군 시초면 태성리,30,20, (지하수) 태성2리,,
충청남도 서천군 시초면 풍정리,128,67, (지하수),,
충청남도 서천군 시초면 후암리,68,43, (지하수) 후암1리,,
충청남도 서천군 시초면 후암리,46,28, (지하수) 후암2리,,
충청남도 서천군 문산면 문장리,60,29, (지하수) 문장1리,,
충청남도 서천군 문산면 북산리,80,41, (지하수) 북산1리,,
충청남도 서천군 문산면 구동리,77,39, (지하수) 구동2리,,
충청남도 서천군 판교면 판교리,119,74, (지하수) 판교1리,,
충청남도 서천군 판교면 복대리,179,103," (지하수) 복대1,2리",,
충청남도 서천군 판교면 심동리,104,59, (지하수),,
충청남도 서천군 판교면 우라리,40,21, (지하수),,
충청남도 서천군 판교면 후동리,76,41, (지하수),,
충청남도 서천군 판교면 현암리,151,65, (지하수) 현암3리,,
충청남도 서천군 판교면 수성리,79,39, (지하수),,
충청남도 서천군 판교면 금덕리,111,58," (지하수) 금덕1,2리",,
충청남도 서천군 종천면 산천리,199,103," (지하수) 산천1,2리",,
충청남도 서천군 종천면 도만리,62,36, (지하수),,
충청남도 서천군 종천면 석촌리,115,57, (지하수) 석촌1리,,
,"2,526","1,024",,,
"충청남도 청양군 청양읍 (백천리, 장승리, 청수리, 송방리, 정좌리, 학당리, 벽천리)",918,358,"전용상수도, 개인관정 ",,
"충청남도 청양군 운곡면 (영양리, 추광리) ",156,62,개인관정 ,,
"충청남도 청양군 대치면 (탄정리,형산리, 농소리)",206,80,개인관정 ,,
"충청남도 청양군 정산면 (서정리, 역촌리, 해남리, 남천리, 송학리, 대박리, 용두리, 마치리,천장리, 신덕리, 와촌리,학암리, 덕성리) ",455,182,"전용상수도, 개인관정",,
"충청남도 청양군 비봉면 (신원1리, 신원2리, 관산리, 용천리, 방한리) ",110,42,"전용상수도, 개인관정 ",,
"충청남도 청양군 청남면 (내직리, 인양리, 아산리)",154,59,개인관정,,
"충청남도 청양군 장평면 (도림지, 낙지리, 화산1리, 화산2리, 죽림리) ",235,92,개인관정,,
"충청남도 청양군 남양면 (매곡2리, 백금2리, 흥산리, 금정1리, 온암1리, 온직3리)",112,63,개인관정,,
"충청남도 청양군 화성면 (산정2리, 장계리, 화강리, 농암1리, 농암2리, 화암리, 기덕리, 신정리, 광평리) ",72,45,개인관정 ,,
"충청남도 청양군 목면 (지곡리, 화양리, 신흥리, 안심리, 송암리, 본의리, 대평리) ",108,41,개인관정 ,,
,"2,445","1,359",,,
충청남도 홍성군 홍북면 대인리 인후원마을,63,37,지하수,,
충청남도 홍성군 홍동면 신기리 만경마을,151,87,지하수,,
충청남도 홍성군 홍동면 신기리 신촌,128,66,지하수,,
충청남도 홍성군 홍동면 수란리 수란,106,57,지하수,,
충청남도 홍성군 홍동면 수란리 산양,98,49,지하수,,
충청남도 홍성군 홍동면 금당리 상하금,90,46,지하수,,
충청남도 홍성군 홍동면 금당리 백동,146,78,지하수,,
충청남도 홍성군 홍동면 대영리 대영,166,96,지하수,,
충청남도 홍성군 장곡면 천태리 천태1,128,84,지하수,,
충청남도 홍성군 갈산면 와리 목과,102,62,지하수,,
충청남도 홍성군 갈산면 쌍천리 쌍천,148,87,지하수,,
충청남도 홍성군 구항면 황곡리 황곡,196,106,지하수,,
충청남도 홍성군 구항면 황곡리 하대,145,89,지하수,,
충청남도 홍성군 구항면 태봉리 태봉,123,67,지하수,,
충청남도 홍성군 구항면 오봉리 온누리아파트,205,112,지하수,,
충청남도 홍성군 구항면 마온리 개나리아파트,199,105,지하수,,
충청남도 홍성군 금마면 죽림리 세청파크빌,180,100,지하수,,
충청남도 홍성군 은하면 화봉리 일반산업단지,71,31,전용상수도,,
,"6,465","3,134",,,
충청남도 예산군 예산읍,183,140,지하수 등,,
충청남도 예산군 삽교읍,364,183,지하수 등,,
충청남도 예산군 대술면,452,251,지하수 등,,
충청남도 예산군 신양면,702,302,지하수 등,,
충청남도 예산군 광시면 ,731,378,지하수 등,,
충청남도 예산군 대흥면 ,521,253,지하수 등,,
충청남도 예산군 응봉면 ,652,321,지하수 등,,
충청남도 예산군 덕산면 ,658,312,지하수 등,,
충청남도 예산군 봉산면 ,547,241,지하수 등,,
충청남도 예산군 고덕면 ,684,311,지하수 등,,
충청남도 예산군 신양면 ,530,246,지하수 등,,
충청남도 예산군 오가면 ,441,196,지하수 등,,
,"11,174","4,508",,,
충청남도 태안군 태안읍 남산리,569,271,지하수,,
충청남도 태안군 태안읍 송암리,503,287,지하수,,
충청남도 태안군 태안읍 반곡리,516,246,지하수,,
충청남도 태안군 태안읍 상옥리,415,102,지하수,,
충청남도 태안군 태안읍 산후리,583,373,지하수,,
충청남도 태안군 안면읍 중장리,641,305,지하수,,
충청남도 태안군 소원면 영전리,469,223,지하수,,
