*미급수지역 위치 (주소),*미급수인구,미급수세대,상수원,,
경기도 평택시 진위면 ,48,22,자가수도,,
경기도 평택시 현덕면 ,543,247,자가수도,,
,60,15,,,
경기도 동두천시 상봉암동 ,60,15,계곡수,,
,555,395,,,
"경기도 안산시단원구 대부북동 두우현 1반,2반",555,395,지하수,,
,"3,069","1,057",,,
경기도 고양시덕양구 지축동 ,"1,267",423,지하수,,
경기도 고양시일산동구 풍동 ,214,73,지하수,,
경기도 고양시일산동구 정발산동 ,185,62,지하수,,
경기도 고양시일산동구 중산동 ,222,83,지하수,,
경기도 고양시일산동구 성석동 ,210,79,지하수,,
경기도 고양시일산서구 대화동 ,210,78,지하수,,
경기도 고양시일산서구 가좌동 ,500,176,지하수,,
경기도 고양시일산서구 일산동 ,261,83,지하수,,
,905,452,,,
경기도 과천시 막계동 ,367,152,지하수,,
경기도 과천시 주암동 ,294,194,지하수,,
경기도 과천시 문원동 ,244,106,지하수,,
,201,50,,,
경기도 구리시 갈매동 ,201,50,지하수,,
,"20,762","8,206",,,
경기도 남양주시 호평동 ,439,175,지하수,,
경기도 남양주시 평내동 ,365,146,지하수,,
경기도 남양주시 금곡동 ,616,234,지하수,,
경기도 남양주시 일패동 ,227,80,지하수,,
경기도 남양주시 이패동 ,326,121,지하수,,
경기도 남양주시 삼패동 ,347,133,지하수,,
경기도 남양주시 지금동 ,451,181,지하수,,
경기도 남양주시 도농동 ,259,92,지하수,,
경기도 남양주시 별내동 ,417,169,지하수,,
경기도 남양주시 오남읍 팔현리,"1,770",691,지하수,,
경기도 남양주시 오남읍 양지리,"1,150",465,지하수,,
경기도 남양주시 오남읍 오남리,446,179,지하수,,
경기도 남양주시 진접읍 팔야리,"1,131",442,지하수,,
경기도 남양주시 진접읍 부평리,849,339,지하수,,
경기도 남양주시 진접읍 내곡리,432,173,지하수,,
경기도 남양주시 진접읍 내각리,840,336,지하수,,
경기도 남양주시 진접읍 금곡리,622,245,지하수,,
경기도 남양주시 진건읍 신월리,681,273,지하수,,
경기도 남양주시 진건읍 배양리,748,298,지하수,,
경기도 남양주시 화도읍 금남리,587,231,지하수,,
경기도 남양주시 화도읍 구암리,370,146,지하수,,
경기도 남양주시 화도읍 답내리,702,281,지하수,,
경기도 남양주시 화도읍 월산리,299,120,지하수,,
경기도 남양주시 화도읍 마석우리,318,125,지하수,,
경기도 남양주시 화도읍 창현리,271,109,지하수,,
경기도 남양주시 화도읍 묵현리,390,156,지하수,,
경기도 남양주시 화도읍 가곡리,933,373,지하수,,
경기도 남양주시 화도읍 녹촌리,749,291,지하수,,
경기도 남양주시 와부읍 월문리,926,369,지하수,,
경기도 남양주시 수동면 내방리,273,110,지하수,,
경기도 남양주시 수동면 외방리,297,118,지하수,,
경기도 남양주시 수동면 수산리,211,83,지하수,,
경기도 남양주시 수동면 운수리,188,76,지하수,,
경기도 남양주시 수동면 입석리,299,119,지하수,,
경기도 남양주시 수동면 송천리,244,97,지하수,,
경기도 남양주시 수동면 지둔리,191,74,지하수,,
경기도 남양주시 퇴계원면 퇴계원리,122,49,지하수,,
경기도 남양주시 별내면 청학리,220,88,지하수,,
경기도 남양주시 별내면 광전리,201,84,지하수,,
경기도 남양주시 조안면 시우리,297,119,지하수,,
경기도 남양주시 조안면 조안리,354,141,지하수,,
경기도 남양주시 조안면 송촌리,204,75,지하수,,
,388,149,,,
경기도 시흥시 목감동 ,94,37,지하수,,
경기도 시흥시 조남동 ,98,39,지하수,,
경기도 시흥시 월곶동 ,65,28,지하수,,
경기도 시흥시 과림동 ,131,45,지하수,,
,17,6,,,
경기도 군포시 속달동 ,7,3,지하수,,
경기도 군포시 둔대동 ,6,2,지하수,,
경기도 군포시 산본동 ,4,1,지하수,,
,124,44,,,
경기도 의왕시 고천동 일원 ,52,18,지하수,,
경기도 의왕시 청계동 일원,37,13,지하수,,
경기도 의왕시 부곡동 일원 ,35,13,지하수,,
,"4,046","1,347",,,
경기도 하남시 감북동 ,850,283,지하수,,
경기도 하남시 춘궁동 ,833,277,지하수,,
경기도 하남시 초이동 ,743,247,지하수,,
경기도 하남시 천현동 ,900,300,지하수,,
경기도 하남시 풍산동 ,720,240,지하수,,
,"9,311","3,325",,,
경기도 용인시처인구 포곡읍 ,"1,897",683,전용상수도,,
경기도 용인시처인구 이동면 ,965,471,전용상수도,,
경기도 용인시처인구 남사면 ,"1,038",425,전용상수도,,
경기도 용인시처인구 원삼면 ,"1,048",439,전용상수도,,
경기도 용인시처인구 백암면 ,"1,362",392,전용상수도,,
경기도 용인시처인구 양지면 ,"1,143",332,전용상수도,,
경기도 용인시처인구 남동 ,241,79,전용상수도,,
경기도 용인시처인구 운학동 ,141,45,전용상수도,,
경기도 용인시기흥구 고매동 ,158,49,전용상수도,,
경기도 용인시기흥구 청덕동 ,152,43,전용상수도,,
경기도 용인시기흥구 상하동 ,126,41,전용상수도,,
경기도 용인시기흥구 영덕동 ,187,59,전용상수도,,
경기도 용인시기흥구 보정동 ,154,49,전용상수도,,
경기도 용인시기흥구 서천동 ,348,97,전용상수도,,
경기도 용인시수지구 고기동 ,130,45,전용상수도,,
경기도 용인시수지구 신봉동 ,221,76,전용상수도,,
,"5,477","1,823",,,
경기도 파주시 조리읍 ,"1,183",394,지하수,,
경기도 파주시 법원읍 ,734,244,지하수,,
경기도 파주시 파주읍 ,"1,092",364,지하수,,
경기도 파주시 광탄면 ,445,148,지하수,,
경기도 파주시 탄현면 ,717,239,지하수,,
경기도 파주시 월롱면 ,449,149,지하수,,
경기도 파주시 적성면 ,602,200,지하수,,
경기도 파주시 파평면 ,255,85,지하수,,
,"3,038","1,376",,,
경기도 이천시 마장면 이평리,620,270,"지하수, 전용상수도",,
경기도 이천시 마장면 해월리,50,23,"지하수, 전용상수도",,
경기도 이천시 마장면 회억리,477,230,"지하수, 전용상수도",,
경기도 이천시 장호원읍 ,"1,431",650,"지하수, 전용상수도 등",,
경기도 이천시 마장면 덕평리,460,203,"지하수, 전용상수도 등",,
,"3,515","1,757",,,
경기도 안성시 공도읍 ,1,1,지하수,,
경기도 안성시 보개면 ,348,173,"지하수, 기타",,
경기도 안성시 금광면 ,583,290,"지하수, 기타",,
경기도 안성시 서운면 ,1,1,지하수,,
경기도 안성시 미양면 ,1,1,지하수,,
경기도 안성시 고삼면 ,1,1,지하수,,
경기도 안성시 양성면 ,483,242,"지하수, 기타",,
경기도 안성시 원곡면 ,637,319,"지하수, 기타",,
경기도 안성시 일죽면 ,572,286,"지하수, 기타",,
경기도 안성시 죽산면 ,708,353,"지하수, 기타",,
경기도 안성시 삼죽면 ,179,89,"지하수, 기타",,
경기도 안성시 대덕면 ,1,1,지하수,,
,"22,617","7,628",,,
경기도 김포시 운양동 ,959,320,지하수,,
경기도 김포시 사우동 ,635,212,지하수,,
경기도 김포시 풍무동 ,401,134,지하수,,
