"측정소명","년","월","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","SS(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","총대장균군수(총대장균군수/100ml)","클로로필 a(㎎/㎥)","분원성대장균군수"
"광양서천","2021","02","13.8","1.4","2.5","2.6","1.056","0.033","1.7","6.9","16","6.7","2"
"광양서천","2021","03","12.8","0.4","3.4","3.8","1.051","0.037","2.5","7.6","61","9.8","17"
"광양서천","2021","04","10.8","1.1","2.1","6.7","1.425","0.039","1.5","7.6","44","7.6","18"
"광양서천","2021","05","9.9","1.3","3.3","5.1","1.309","0.033","1.9","7.6","280","12.6","22"
"광양서천","2021","06","7.7","1.7","4.5","6.9","1.771","0.074","2.8","7.8","380","11.3","240"
"광양서천","2021","07","10.9","1.1","5","5.1","1.298","0.08","2.8","8.4","450","8.7","28"
"광양서천","2021","08","8.5","1.4","4","3.7","1.768","0.083","1.7","7.9","900","5.2","650"
"광양서천","2021","09","8.5","1","3.6","2.6","1.441","0.041","1.7","7.6","1600","4.1","480"
"광양서천","2021","10","9.6","1.1","3.2","2","1.122","0.049","1","8.4","360","4.5","270"
"광양서천","2021","11","10.3","1.1","3.8","33.4","1.192","0.069","1.5","8","200","12.5","12"
"광양서천","2021","12","12.4","0.5","1.9","1.4","1.694","0.064","1.5","7.3","3","1.7","0"
"수어천2","2020","01","12.4","0.4","0.7","25.2","0.804","0.034","1.4","7.6","480","1.1","116"
"수어천2","2020","02","12.6","0.6","2","16.8","1.176","0.051","1.7","8.2","4200","1.4","1000"
"수어천2","2020","03","8.6","0.8","1.6","51.6","0.495","0.032","2.1","8","104","0.8","18"
"수어천2","2020","04","7.6","0.8","1","44.4","0.526","0.029","1.6","8","8400","0.7","96"
"수어천2","2020","05","8.1","0.5","2.9","22.8","1.543","0.05","2.5","7.4","1200","1","440"
"수어천2","2020","06","7.6","1","5.3","47.2","2.572","0.107","4","7.3","21000","3.3","2100"
"수어천2","2020","07","8.9","1","2.6","32","3.003","0.096","2.4","7.9","40000","2.2","21000"
"수어천2","2020","08","7.6","0.9","3.4","27.6","1.774","0.069","2.6","7.3","14400","3","3800"
"수어천2","2020","09","8.1","0.8","2.4","29.2","1.086","0.042","2.3","7.5","12000","7","3600"
"수어천2","2020","10","8.8","0.8","3.1","37.6","1.2","0.054","1.8","7.7","700","0.9","100"
"수어천2","2020","11","5.1","0.7","2.2","48.8","0.491","0.049","1.7","7.9","13400","2.4","10000"
"수어천2","2020","12","10.2","0.5","0.8","40.4","0.53","0.075","1.4","7.7","14000","0.3","4400"
"수어천2","2021","01","13.3","1","2.3","49.6","0.561","0.033","2","8.2","3800","7.1","600"
"수어천2","2021","02","9.4","1.4","2.1","37.2","0.501","0.027","2.2","8.3","4400","3.3","740"
"수어천2","2021","03","9.6","1","2.8","48.8","0.709","0.032","2","8","3900","2.1","520"
"수어천2","2021","04","8.8","0.6","2.6","50.8","1.601","0.041","1.9","7.6","5100","1.4","580"
"수어천2","2021","05","7.8","0.5","1.4","42.4","0.684","0.055","2.1","7.7","6200","1.5","520"
"수어천2","2021","06","6.5","0.7","4.9","92.4","0.853","0.121","3.2","7.7","11200","1.7","1520"
"수어천2","2021","07","7.1","0.5","3.9","31.2","1.75","0.086","2.7","7.1","13400","1.8","3600"
"수어천2","2021","08","3.2","0.6","1.6","30","0.78","0.104","2.3","7.6","9600","5.6","680"
"수어천2","2021","09","5.3","0.6","2.9","52","0.722","0.065","1.8","7.5","13600","0.3","5700"
"수어천2","2021","10","7.9","0.7","3","44","0.439","0.059","2","8","60000","8.4","15400"
"수어천2","2021","11","7.7","0.7","3.8","86.4","0.701","0.109","2.3","7.8","3000","3","310"
"수어천2","2021","12","9.3","0.6","2.4","59.6","0.475","0.058","2.2","7.9","5200","2.8","250"
